wbid,wbtype,uid,batch
4202448018905779,comment,5128121882,3
4202448018905779,comment,2261996422,3
4202448018905779,comment,5358758895,3
4194857167209608,comment,5328248375,3
4194857167209608,comment,5146109442,3
4194857167209608,comment,1730294751,3
4194857167209608,comment,5173286287,3
4194857167209608,comment,2122385931,3
4194857167209608,comment,1157926633,3
4187010388712517,comment,1157926633,3
4187010388712517,comment,5328248375,3
4187010388712517,comment,5682030205,3
4187010388712517,comment,5670691664,3
4187010388712517,comment,1157926633,3
4187010388712517,comment,1157926633,3
4187010388712517,comment,5173286287,3
4187010388712517,comment,1157926633,3
4187010388712517,comment,5628424524,3
4187010388712517,comment,1381012365,3
4187010388712517,comment,1854771045,3
4187010388712517,comment,1157926633,3
4187010388712517,comment,5670691664,3
4187010388712517,comment,1157926633,3
4187010388712517,comment,1854771045,3
4179213533587794,comment,1157926633,3
4179213533587794,comment,6092505446,3
4179213533587794,comment,1157926633,3
4179213533587794,comment,5657223808,3
4179213533587794,comment,2122385931,3
4179213533587794,comment,5657223808,3
4179213533587794,comment,1157926633,3
4179213533587794,comment,2122385931,3
4179213533587794,comment,1157926633,3
4179213533587794,comment,5485053255,3
4179213533587794,comment,5657223808,3
4179213533587794,comment,5657223808,3
4179213533587794,comment,1157926633,3
4181397675939731,comment,1157926633,3
4181397675939731,comment,5682030205,3
4196108127159177,comment,2844039741,3
4195418784821136,comment,2288793637,3
4195418784821136,comment,1781363330,3
4195418784821136,comment,1157926633,3
4195418784821136,comment,1157926633,3
4195418784821136,comment,5993636770,3
4195418784821136,comment,6218477783,3
4195418784821136,comment,1157926633,3
4195418784821136,comment,1157926633,3
4195418784821136,comment,1157926633,3
4195418784821136,comment,5670691664,3
4195418784821136,comment,1157926633,3
4195418784821136,comment,5993636770,3
4195418784821136,comment,5993636770,3
4195418784821136,comment,1781363330,3
4195418784821136,comment,5670691664,3
4195418784821136,comment,1157926633,3
4195418784821136,comment,1157926633,3
4195418784821136,comment,1157926633,3
4195418784821136,comment,1157926633,3
4195418784821136,comment,6218477783,3
4195418784821136,comment,5346651066,3
4190090407728806,comment,5235194334,3
4190090407728806,comment,5575908678,3
4190090407728806,comment,1157926633,3
4190090407728806,comment,1157926633,3
4190090407728806,comment,1781363330,3
4190090407728806,comment,1781363330,3
4190090407728806,comment,1157926633,3
4190090407728806,comment,1781363330,3
4190090407728806,comment,1157926633,3
4190090407728806,comment,1781363330,3
4196725071370882,comment,1157926633,3
4196725071370882,comment,5565283232,3
4196725071370882,comment,5565283232,3
4196725071370882,comment,5682030205,3
4196725071370882,comment,2261996422,3
4196725071370882,comment,1157926633,3
4196725071370882,comment,5690793902,3
4196725071370882,comment,1157926633,3
4196725071370882,comment,1157926633,3
4196725071370882,comment,5482930225,3
4196725071370882,comment,5328248375,3
4196725071370882,comment,2394343655,3
4196725071370882,comment,5682030205,3
4196725071370882,comment,1157926633,3
4181389257230281,comment,5460903210,3
4181389257230281,comment,3705312331,3
4187756110411041,comment,1157926633,3
4187756110411041,comment,1157926633,3
4187756110411041,comment,3196310145,3
4187756110411041,comment,5173286287,3
4187756110411041,comment,5344427729,3
4187756110411041,comment,5565283232,3
4187756110411041,comment,5344427729,3
4187756110411041,comment,1157926633,3
4202919718359125,comment,1157926633,3
4202919718359125,comment,5485053255,3
4202919718359125,comment,3913921431,3
4202919718359125,comment,2947390835,3
4202919718359125,comment,2288793637,3
4202919718359125,comment,1157926633,3
4202919718359125,comment,1157926633,3
4202919718359125,comment,3705312331,3
4202919718359125,comment,2288793637,3
4202919718359125,comment,5575908678,3
4202919718359125,comment,5328248375,3
4202919718359125,comment,2288793637,3
4202919718359125,comment,1157926633,3
4202919718359125,comment,1157926633,3
4202919718359125,comment,5416178833,3
4202919718359125,comment,1157926633,3
4202919718359125,comment,5416178833,3
4196493257160596,comment,1157926633,3
4196493257160596,comment,1157926633,3
4196493257160596,comment,5635761612,3
4196493257160596,comment,1781363330,3
4196493257160596,comment,1157926633,3
4196493257160596,comment,1646375577,3
4196493257160596,comment,1781363330,3
4196493257160596,comment,5635761612,3
4196015420653635,comment,5460903210,3
4196015420653635,comment,5681297810,3
4196015420653635,comment,5711558410,3
4196015420653635,comment,2363258672,3
4196015420653635,comment,5635761612,3
4196015420653635,comment,1157926633,3
4196015420653635,comment,5358776393,3
4196015420653635,comment,1157926633,3
4196015420653635,comment,5635761612,3
4196015420653635,comment,5635761612,3
4196015420653635,comment,1157926633,3
4196015420653635,comment,1157926633,3
4196015420653635,comment,1157926633,3
4196015420653635,comment,5635761612,3
4196015420653635,comment,1157926633,3
4196015420653635,comment,1157926633,3
4196015420653635,comment,5146109442,3
4196015420653635,comment,5635761612,3
4196015420653635,comment,5358776393,3
4196015420653635,comment,5723501894,3
4196015420653635,comment,1157926633,3
4196015420653635,comment,5485053255,3
4196015420653635,comment,5635761612,3
4196015420653635,comment,1157926633,3
4196015420653635,comment,1157926633,3
4196015420653635,comment,1157926633,3
4196015420653635,comment,1157926633,3
4202258675969243,comment,2817845511,3
4196015420653635,repost,2143951072,3
4196015420653635,repost,1772273184,3
4196015420653635,repost,3220812981,3
4196015420653635,repost,5139993157,3
4196015420653635,repost,5992029562,3
4196015420653635,repost,5690793902,3
4196015420653635,repost,5767713129,3
4196015420653635,repost,3844278094,3
4196015420653635,repost,5905492558,3
4196015420653635,repost,5686812091,3
4196015420653635,repost,2394343655,3
4196015420653635,repost,2310598557,3
4196015420653635,repost,5733066838,3
4196015420653635,repost,3212010524,3
4196015420653635,repost,5670691664,3
4196015420653635,repost,6453575512,3
4196015420653635,repost,2363258672,3
4181389257230281,repost,5738541266,3
4181389257230281,repost,5329324233,3
4196423069164985,comment,1163680094,3
4196423069164985,comment,6213835462,3
4196423069164985,comment,6213835462,3
4187509728228124,comment,6213835462,3
4187509728228124,comment,1161525291,3
4194409022791094,comment,1884620855,3
4194409022791094,comment,1163680094,3
4194409022791094,comment,1584151573,3
4194409022791094,comment,1163680094,3
4194409022791094,comment,1163680094,3
4194409022791094,comment,1884620855,3
4194409022791094,comment,2302965034,3
4194409022791094,comment,1163680094,3
4176922986572803,comment,1884620855,3
4201291967880599,comment,2022733223,3
4188988170344204,comment,1163680094,3
4188988170344204,comment,1884620855,3
4188988170344204,comment,1884620855,3
4188988170344204,comment,1884620855,3
4188988170344204,comment,6213835462,3
4188988170344204,comment,1163680094,3
4188988170344204,comment,2281145333,3
4201972384771971,repost,2560544301,3
4201972384771971,repost,1697272510,3
4201972384771971,repost,2982976161,3
4201972384771971,repost,3969644271,3
4201972384771971,repost,5895170689,3
4201972384771971,repost,2707544141,3
4201972384771971,repost,3242177844,3
4201972384771971,repost,2792840417,3
4201972384771971,repost,5094097985,3
4201972384771971,repost,2311611571,3
4201972384771971,repost,6072530341,3
4201972384771971,repost,2783176317,3
4201972384771971,repost,5243904656,3
4201972384771971,repost,1828729757,3
4201972384771971,repost,1764671310,3
4201972384771971,repost,5674856104,3
4201972384771971,repost,5312766381,3
4201972384771971,repost,3434633212,3
4201972384771971,repost,2254708860,3
4201972384771971,repost,5211737875,3
4201972384771971,repost,1691769320,3
4201972384771971,repost,1744728015,3
4201972384771971,repost,2273805194,3
4201972384771971,repost,5168075978,3
4201972384771971,repost,2778458622,3
4201972384771971,repost,2830794464,3
4201972384771971,repost,2287788137,3
4201972384771971,repost,5710717076,3
4201972384771971,repost,5308954416,3
4201972384771971,repost,1790690907,3
4201972384771971,repost,1679822345,3
4194604997478966,comment,5183723691,3
4194604997478966,comment,2235695262,3
4194604997478966,comment,1281570922,3
4194604997478966,comment,6230901605,3
4194604997478966,comment,1219060127,3
4194604997478966,comment,1752680217,3
4194604997478966,comment,1281570922,3
4194604997478966,comment,1281570922,3
4194604997478966,comment,1281570922,3
4194604997478966,comment,1780839197,3
4194604997478966,comment,1281570922,3
4194604997478966,comment,6230901605,3
4194604997478966,comment,2612140087,3
4194604997478966,comment,3703077734,3
4194604997478966,comment,1281570922,3
4194604997478966,comment,1281570922,3
4194604997478966,comment,1281570922,3
4194604997478966,comment,1281570922,3
4194604997478966,comment,6230901605,3
4194570634250596,comment,1281570922,3
4194570634250596,comment,1281570922,3
4194570634250596,comment,1805278382,3
4194570634250596,comment,1281570922,3
4194570634250596,comment,2302362617,3
4194570634250596,comment,3265553674,3
4194570634250596,comment,2548044852,3
4194570634250596,comment,5767487053,3
4165829220818340,comment,5626652078,3
4165829220818340,comment,5822862070,3
4165829220818340,comment,5822862070,3
4165829220818340,comment,1375321794,3
4183536833810188,comment,3586210164,3
4183536833810188,comment,2570982162,3
4183536833810188,comment,5381442209,3
4183536833810188,comment,5091144723,3
4183536833810188,comment,1651139012,3
4183536833810188,comment,1651139012,3
4183536833810188,comment,2120808450,3
4183536833810188,comment,1818713355,3
4170413623864532,comment,5392985066,3
4170413623864532,comment,2235930950,3
4170413623864532,comment,3771828574,3
4170413623864532,comment,2591929092,3
4170413623864532,comment,1651139012,3
4170413623864532,comment,1651139012,3
4188928213090442,comment,5180701603,3
4188928213090442,comment,5180701603,3
4188928213090442,comment,1651139012,3
4188928213090442,comment,2692673894,3
4188928213090442,comment,1651139012,3
4188928213090442,comment,1651139012,3
4188928213090442,comment,5180701603,3
4188928213090442,comment,1651139012,3
4188928213090442,comment,2692673894,3
4188928213090442,comment,5180701603,3
4188928213090442,comment,1651139012,3
4188928213090442,comment,1651139012,3
4188928213090442,comment,2692673894,3
4188928213090442,comment,1651139012,3
4188928213090442,comment,1797582693,3
4184167463519148,comment,5881171446,3
4184167463519148,comment,1651139012,3
4201490082509489,comment,6017724514,3
